raw_frame_id,raw_filename,frame_number,timestamp,extraction_rate,brightness,contrast,blur_edge_score,perceptual_hash,duplicate_distance,duplicate_of,script_suggestion,script_reason,final_decision,final_reason,final_curated_image_id,final_curated_filename,reviewer,comment
nosferatu_raw_000225,raw_frames/nosferatu_raw_000225.jpg,225,00:37:20,1 frame / 10 sec,42.645,33.405,7.014,2c3e1f4f0f03003c,18,,review,usable_candidate,kept,,nosferatu_000225,nosferatu_000225.jpg,,
nosferatu_raw_000227,raw_frames/nosferatu_raw_000227.jpg,227,00:37:40,1 frame / 10 sec,26.422,22.747,3.667,003a7d7c6c783800,21,,remove,blurred,kept,,nosferatu_000227,nosferatu_000227.jpg,,
nosferatu_raw_000229,raw_frames/nosferatu_raw_000229.jpg,229,00:38:00,1 frame / 10 sec,25.817,18.53,5.3,000677660e3e7818,20,,review,usable_candidate,kept,,nosferatu_000229,nosferatu_000229.jpg,,
nosferatu_raw_000232,raw_frames/nosferatu_raw_000232.jpg,232,00:38:30,1 frame / 10 sec,25.518,28.298,5.068,1818383c3c3c1800,22,,review,usable_candidate,kept,,nosferatu_000232,nosferatu_000232.jpg,,
nosferatu_raw_000234,raw_frames/nosferatu_raw_000234.jpg,234,00:38:50,1 frame / 10 sec,23.216,22.692,4.597,003838786c3c2c04,18,,review,usable_candidate,kept,,nosferatu_000234,nosferatu_000234.jpg,,
nosferatu_raw_000235,raw_frames/nosferatu_raw_000235.jpg,235,00:39:00,1 frame / 10 sec,23.811,18.001,5.64,00066f6f2b3e3c18,23,,review,usable_candidate,kept,,nosferatu_000235,nosferatu_000235.jpg,,
nosferatu_raw_000237,raw_frames/nosferatu_raw_000237.jpg,237,00:39:20,1 frame / 10 sec,23.916,22.537,5.287,00026f7f361e0c08,9,,review,usable_candidate,kept,,nosferatu_000237,nosferatu_000237.jpg,,
nosferatu_raw_000241,raw_frames/nosferatu_raw_000241.jpg,241,00:40:00,1 frame / 10 sec,25.578,25.092,4.395,000c2f3f1f0e0c0c,17,,review,usable_candidate,kept,,nosferatu_000241,nosferatu_000241.jpg,,
nosferatu_raw_000242,raw_frames/nosferatu_raw_000242.jpg,242,00:40:10,1 frame / 10 sec,29.041,25.613,5.916,000e6e6e3e3e0800,13,,review,usable_candidate,kept,,nosferatu_000242,nosferatu_000242.jpg,,
nosferatu_raw_000244,raw_frames/nosferatu_raw_000244.jpg,244,00:40:30,1 frame / 10 sec,32.8,27.921,6.494,000e2e7fff3f2c00,12,,review,usable_candidate,kept,,nosferatu_000244,nosferatu_000244.jpg,,
nosferatu_raw_000246,raw_frames/nosferatu_raw_000246.jpg,246,00:40:50,1 frame / 10 sec,30.665,28.037,2.097,001c3e2e3e7e2600,16,,remove,blurred,kept,,nosferatu_000246,nosferatu_000246.jpg,,
nosferatu_raw_000247,raw_frames/nosferatu_raw_000247.jpg,247,00:41:00,1 frame / 10 sec,40.91,34.557,5.387,003e3e1e1f1b0800,14,,review,usable_candidate,kept,,nosferatu_000247,nosferatu_000247.jpg,,
nosferatu_raw_000248,raw_frames/nosferatu_raw_000248.jpg,248,00:41:10,1 frame / 10 sec,53.548,44.273,3.528,003c7c7e3c3c1c00,14,,remove,blurred,kept,,nosferatu_000248,nosferatu_000248.jpg,,
nosferatu_raw_000250,raw_frames/nosferatu_raw_000250.jpg,250,00:41:30,1 frame / 10 sec,27.121,19.035,5.173,003e7f6f323e0c00,12,,review,usable_candidate,kept,,nosferatu_000250,nosferatu_000250.jpg,,
