image_id,frame_filename,film_title,film_year,source_platform,source_url,license_status,access_date,timestamp,extraction_rate,curation_decision,notes
nosferatu_000260,nosferatu_000260.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:43:10,1 frame / 10 sec,kept,
nosferatu_000262,nosferatu_000262.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:43:30,1 frame / 10 sec,kept,
nosferatu_000265,nosferatu_000265.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:44:00,1 frame / 10 sec,kept,
nosferatu_000267,nosferatu_000267.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:44:20,1 frame / 10 sec,kept,
nosferatu_000270,nosferatu_000270.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:44:50,1 frame / 10 sec,kept,
nosferatu_000275,nosferatu_000275.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:45:40,1 frame / 10 sec,kept,
nosferatu_000277,nosferatu_000277.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:46:00,1 frame / 10 sec,kept,
nosferatu_000278,nosferatu_000278.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:46:10,1 frame / 10 sec,kept,
nosferatu_000282,nosferatu_000282.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:46:50,1 frame / 10 sec,kept,
nosferatu_000286,nosferatu_000286.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:47:30,1 frame / 10 sec,kept,
nosferatu_000290,nosferatu_000290.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:48:10,1 frame / 10 sec,kept,
nosferatu_000291,nosferatu_000291.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:48:20,1 frame / 10 sec,kept,
nosferatu_000293,nosferatu_000293.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:48:40,1 frame / 10 sec,kept,
nosferatu_000296,nosferatu_000296.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:49:10,1 frame / 10 sec,kept,
nosferatu_000297,nosferatu_000297.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:49:20,1 frame / 10 sec,kept,
nosferatu_000298,nosferatu_000298.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:49:30,1 frame / 10 sec,kept,
nosferatu_000301,nosferatu_000301.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:50:00,1 frame / 10 sec,kept,
nosferatu_000304,nosferatu_000304.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:50:30,1 frame / 10 sec,kept,
